0,0,0,operario,sem conta,2,1,1,muito_alta,2,1500,Nao,2,6,muito pobre,imovel,carro novo,proprio,2,0
0,0,0,operario,baixa,1,0,1,baixa,4,1656,Nao,2,9,boa,imovel,carro novo,aluguel,4,0
0,0,0,nivel medio,negativa,2,0,1,alta,4,2028,Nao,15,6,muito pobre,carro ou outro,eletronico,proprio,4,0
0,0,0,operario,negativa,1,2,1,baixa,1,2034,Nao,12,12,boa,carro ou outro,requalificacao,proprio,4,0
0,0,0,nivel medio,negativa,1,0,1,baixa,1,2058,Nao,1,6,boa,imovel,eletrodomestico,proprio,4,0
0,0,0,operario,sem conta,2,0,1,media,4,2172,Nao,3,6,muito pobre,carro ou outro,carro novo,proprio,4,0
0,0,0,nivel medio,alta,2,0,1,muito_alta,3,2454,Nao,2,12,boa,imovel,eletronico,aluguel,3,0
0,0,0,operario,sem conta,1,0,1,baixa,4,2556,Nao,13,6,boa,carro ou outro,eletronico,proprio,4,0
0,0,0,nivel medio,baixa,1,1,2,muito_alta,2,2598,Nao,1,6,boa,seguro de vida,educacao,aluguel,4,1
1,0,0,nivel medio,sem conta,1,0,1,baixa,4,2598,Nao,0,18,boa,imovel,eletronico,aluguel,3,1
0,0,0,nivel medio,negativa,1,0,1,baixa,4,2688,Nao,1,6,boa,seguro de vida,educacao,proprio,4,1
0,0,0,nivel medio,baixa,1,0,1,baixa,3,2748,Nao,3,9,boa,imovel,eletronico,proprio,4,0
0,1,0,operario,baixa,1,1,1,baixa,3,2904,Nao,7,6,boa,imovel,eletronico,proprio,3,0
0,0,0,nivel medio,sem conta,1,0,1,baixa,1,3108,Nao,4,6,boa,imovel,eletronico,proprio,3,0
0,0,0,nivel medio,negativa,2,0,1,baixa,4,3426,Nao,9,21,muito pobre,imovel,carro novo,proprio,4,0
1,0,0,nivel medio,baixa,2,0,1,baixa,4,3510,Nao,4,12,pobre,imovel,eletronico,aluguel,4,0
0,0,0,nivel medio,negativa,2,0,1,baixa,3,3654,Nao,5,6,muito pobre,seguro de vida,carro novo,proprio,4,0
0,0,0,desempregado,alta,1,0,1,baixa,1,3654,Nao,1,12,boa,imovel,empresa,proprio,4,1
0,0,0,nivel medio,sem conta,1,0,1,baixa,4,3708,Nao,9,12,muito pobre,imovel,eletronico,proprio,4,0
0,1,0,operario,baixa,1,2,1,baixa,1,3750,Nao,1,12,boa,imovel,eletronico,proprio,4,0
0,0,0,operario,negativa,1,1,1,baixa,4,3756,Nao,2,12,boa,imovel,eletronico,proprio,4,1
0,0,0,nivel medio,baixa,1,0,1,baixa,2,3834,Nao,4,12,boa,carro ou outro,reformas,proprio,4,1
0,0,0,operario,sem conta,1,0,1,baixa,2,3840,Nao,4,12,boa,imovel,carro novo,proprio,4,0
0,0,0,nivel medio,negativa,1,0,1,baixa,4,3912,Nao,9,12,boa,seguro de vida,mobiliario,aluguel,4,0
0,0,0,operario,negativa,1,0,1,baixa,3,3924,Nao,2,9,boa,carro ou outro,carro novo,proprio,4,1
0,0,0,operario,sem conta,1,0,1,alta,4,3960,Nao,5,6,boa,imovel,reformas,aluguel,2,0
0,0,0,operario,negativa,1,0,2,baixa,4,4104,Nao,3,12,boa,carro ou outro,educacao,aluguel,4,1
0,0,0,operario,baixa,1,2,1,baixa,3,4110,Nao,7,12,boa,carro ou outro,carro novo,proprio,2,1
0,0,0,nivel medio,negativa,2,0,1,baixa,3,4146,Nao,9,12,muito pobre,seguro de vida,carro novo,proprio,4,1
0,0,0,nivel medio,sem conta,2,0,1,sem conta,4,4200,Nao,16,6,muito pobre,Nao,eletronico,gratis,4,0
0,0,0,nivel medio,sem conta,2,2,1,baixa,2,4242,Nao,4,12,boa,imovel,eletronico,proprio,4,0
0,0,0,desempregado,alta,1,0,1,muito_alta,2,4254,Nao,1,6,boa,imovel,carro novo,proprio,2,0
0,0,2,operario,negativa,1,0,1,baixa,4,4254,Nao,12,12,boa,imovel,eletronico,proprio,4,1
0,0,0,nivel medio,sem conta,3,0,1,baixa,4,4302,Nao,14,12,muito pobre,imovel,eletronico,proprio,4,0
